Level	Rule Name	Subject	Property	Value
ERROR	duplicate_definition	PHIPO:0000309	IAO:0000115	The host defences suppressed by the pathogen are unaltered compared to the wild type interaction	
ERROR	duplicate_definition	PHIPO:0000314	IAO:0000115	The host defences suppressed by the pathogen are unaltered compared to the wild type interaction	
ERROR	duplicate_definition	PHIPO:0000308	IAO:0000115	The host defences activated by the pathogen are unaltered compared to the wild type interaction	
ERROR	duplicate_definition	PHIPO:0000313	IAO:0000115	The host defences activated by the pathogen are unaltered compared to the wild type interaction	
ERROR	duplicate_definition	PHIPO:0000003	IAO:0000115	A single organism phenotype that is observed at the level of a tissue (eg leaf, inflorescence, ear or kidney).	
ERROR	duplicate_definition	PHIPO:0000512	IAO:0000115	A single organism phenotype that is observed at the level of a tissue (eg leaf, inflorescence, ear or kidney).	
ERROR	duplicate_definition	PHIPO:0000237	IAO:0000115	A single organism phenotype that affects the localization of a protein in a cell.	
ERROR	duplicate_definition	PHIPO:0000239	IAO:0000115	A single organism phenotype that affects the localization of a protein in a cell.	
ERROR	duplicate_definition	PHIPO:0000238	IAO:0000115	A pathogen host interaction phenotype that affects the localization of a protein in a cell.	
ERROR	duplicate_definition	PHIPO:0000240	IAO:0000115	A pathogen host interaction phenotype that affects the localization of a protein in a cell.	
ERROR	multiple_equivalent_classes	PHIPO:0000450	owl:equivalentClass	08a8d190d60e061cc79d1186a19d6a67	
ERROR	multiple_equivalent_classes	PHIPO:0000450	owl:equivalentClass	dd190c66d2f4dae2091d89f1beb0ef8f	
ERROR	deprecated_class_reference	PHIPO:0000511	rdfs:label	obsolete pathogen host interaction cell population phenotype	
ERROR	deprecated_class_reference	PHIPO:0000511	owl:deprecated	true^^http://www.w3.org/2001/XMLSchema#boolean	
ERROR	missing_ontology_description	phipo.owl	dc11:description		
ERROR	missing_ontology_license	phipo.owl	dc:license		
ERROR	missing_ontology_title	phipo.owl	dc11:title		
WARN	missing_definition	PHIPO:0000001	IAO:0000600		
WARN	missing_definition	PHIPO:0000002	IAO:0000600		
WARN	missing_definition	PHIPO:0000003	IAO:0000600		
WARN	missing_definition	PHIPO:0000004	IAO:0000600		
WARN	missing_definition	PHIPO:0000005	IAO:0000600		
WARN	missing_definition	PHIPO:0000006	IAO:0000600		
WARN	missing_definition	PHIPO:0000007	IAO:0000600		
WARN	missing_definition	PHIPO:0000008	IAO:0000600		
WARN	missing_definition	PHIPO:0000009	IAO:0000600		
WARN	missing_definition	PHIPO:0000010	IAO:0000600		
WARN	missing_definition	PHIPO:0000011	IAO:0000600		
WARN	missing_definition	PHIPO:0000012	IAO:0000600		
WARN	missing_definition	PHIPO:0000013	IAO:0000600		
WARN	missing_definition	PHIPO:0000014	IAO:0000600		
WARN	missing_definition	PHIPO:0000015	IAO:0000600		
WARN	missing_definition	PHIPO:0000016	IAO:0000600		
WARN	missing_definition	PHIPO:0000017	IAO:0000600		
WARN	missing_definition	PHIPO:0000018	IAO:0000115		
WARN	missing_definition	PHIPO:0000018	IAO:0000600		
WARN	missing_definition	PHIPO:0000019	IAO:0000600		
WARN	missing_definition	PHIPO:0000020	IAO:0000600		
WARN	missing_definition	PHIPO:0000021	IAO:0000600		
WARN	missing_definition	PHIPO:0000022	IAO:0000600		
WARN	missing_definition	PHIPO:0000023	IAO:0000600		
WARN	missing_definition	PHIPO:0000024	IAO:0000600		
WARN	missing_definition	PHIPO:0000025	IAO:0000115		
WARN	missing_definition	PHIPO:0000025	IAO:0000600		
WARN	missing_definition	PHIPO:0000026	IAO:0000600		
WARN	missing_definition	PHIPO:0000027	IAO:0000600		
WARN	missing_definition	PHIPO:0000028	IAO:0000600		
WARN	missing_definition	PHIPO:0000029	IAO:0000115		
WARN	missing_definition	PHIPO:0000029	IAO:0000600		
WARN	missing_definition	PHIPO:0000030	IAO:0000600		
WARN	missing_definition	PHIPO:0000031	IAO:0000600		
WARN	missing_definition	PHIPO:0000032	IAO:0000600		
WARN	missing_definition	PHIPO:0000033	IAO:0000115		
WARN	missing_definition	PHIPO:0000033	IAO:0000600		
WARN	missing_definition	PHIPO:0000034	IAO:0000600		
WARN	missing_definition	PHIPO:0000035	IAO:0000115		
WARN	missing_definition	PHIPO:0000035	IAO:0000600		
WARN	missing_definition	PHIPO:0000037	IAO:0000115		
WARN	missing_definition	PHIPO:0000037	IAO:0000600		
WARN	missing_definition	PHIPO:0000038	IAO:0000115		
WARN	missing_definition	PHIPO:0000038	IAO:0000600		
WARN	missing_definition	PHIPO:0000039	IAO:0000600		
WARN	missing_definition	PHIPO:0000040	IAO:0000600		
WARN	missing_definition	PHIPO:0000041	IAO:0000115		
WARN	missing_definition	PHIPO:0000041	IAO:0000600		
WARN	missing_definition	PHIPO:0000042	IAO:0000115		
WARN	missing_definition	PHIPO:0000042	IAO:0000600		
WARN	missing_definition	PHIPO:0000043	IAO:0000115		
WARN	missing_definition	PHIPO:0000043	IAO:0000600		
WARN	missing_definition	PHIPO:0000044	IAO:0000115		
WARN	missing_definition	PHIPO:0000044	IAO:0000600		
WARN	missing_definition	PHIPO:0000045	IAO:0000115		
WARN	missing_definition	PHIPO:0000045	IAO:0000600		
WARN	missing_definition	PHIPO:0000046	IAO:0000115		
WARN	missing_definition	PHIPO:0000046	IAO:0000600		
WARN	missing_definition	PHIPO:0000047	IAO:0000115		
WARN	missing_definition	PHIPO:0000047	IAO:0000600		
WARN	missing_definition	PHIPO:0000048	IAO:0000115		
WARN	missing_definition	PHIPO:0000048	IAO:0000600		
WARN	missing_definition	PHIPO:0000049	IAO:0000115		
WARN	missing_definition	PHIPO:0000049	IAO:0000600		
WARN	missing_definition	PHIPO:0000050	IAO:0000115		
WARN	missing_definition	PHIPO:0000050	IAO:0000600		
WARN	missing_definition	PHIPO:0000051	IAO:0000115		
WARN	missing_definition	PHIPO:0000051	IAO:0000600		
WARN	missing_definition	PHIPO:0000052	IAO:0000115		
WARN	missing_definition	PHIPO:0000052	IAO:0000600		
WARN	missing_definition	PHIPO:0000053	IAO:0000115		
WARN	missing_definition	PHIPO:0000053	IAO:0000600		
WARN	missing_definition	PHIPO:0000054	IAO:0000115		
WARN	missing_definition	PHIPO:0000054	IAO:0000600		
WARN	missing_definition	PHIPO:0000055	IAO:0000115		
WARN	missing_definition	PHIPO:0000055	IAO:0000600		
WARN	missing_definition	PHIPO:0000056	IAO:0000115		
WARN	missing_definition	PHIPO:0000056	IAO:0000600		
WARN	missing_definition	PHIPO:0000057	IAO:0000115		
WARN	missing_definition	PHIPO:0000057	IAO:0000600		
WARN	missing_definition	PHIPO:0000058	IAO:0000115		
WARN	missing_definition	PHIPO:0000058	IAO:0000600		
WARN	missing_definition	PHIPO:0000059	IAO:0000115		
WARN	missing_definition	PHIPO:0000059	IAO:0000600		
WARN	missing_definition	PHIPO:0000060	IAO:0000115		
WARN	missing_definition	PHIPO:0000060	IAO:0000600		
WARN	missing_definition	PHIPO:0000061	IAO:0000115		
WARN	missing_definition	PHIPO:0000061	IAO:0000600		
WARN	missing_definition	PHIPO:0000062	IAO:0000115		
WARN	missing_definition	PHIPO:0000062	IAO:0000600		
WARN	missing_definition	PHIPO:0000063	IAO:0000115		
WARN	missing_definition	PHIPO:0000063	IAO:0000600		
WARN	missing_definition	PHIPO:0000064	IAO:0000115		
WARN	missing_definition	PHIPO:0000064	IAO:0000600		
WARN	missing_definition	PHIPO:0000065	IAO:0000115		
WARN	missing_definition	PHIPO:0000065	IAO:0000600		
WARN	missing_definition	PHIPO:0000066	IAO:0000115		
WARN	missing_definition	PHIPO:0000066	IAO:0000600		
WARN	missing_definition	PHIPO:0000067	IAO:0000115		
WARN	missing_definition	PHIPO:0000067	IAO:0000600		
WARN	missing_definition	PHIPO:0000068	IAO:0000115		
WARN	missing_definition	PHIPO:0000068	IAO:0000600		
WARN	missing_definition	PHIPO:0000069	IAO:0000115		
WARN	missing_definition	PHIPO:0000069	IAO:0000600		
WARN	missing_definition	PHIPO:0000070	IAO:0000115		
WARN	missing_definition	PHIPO:0000070	IAO:0000600		
WARN	missing_definition	PHIPO:0000071	IAO:0000115		
WARN	missing_definition	PHIPO:0000071	IAO:0000600		
WARN	missing_definition	PHIPO:0000072	IAO:0000115		
WARN	missing_definition	PHIPO:0000072	IAO:0000600		
WARN	missing_definition	PHIPO:0000073	IAO:0000115		
WARN	missing_definition	PHIPO:0000073	IAO:0000600		
WARN	missing_definition	PHIPO:0000074	IAO:0000115		
WARN	missing_definition	PHIPO:0000074	IAO:0000600		
WARN	missing_definition	PHIPO:0000075	IAO:0000115		
WARN	missing_definition	PHIPO:0000075	IAO:0000600		
WARN	missing_definition	PHIPO:0000076	IAO:0000115		
WARN	missing_definition	PHIPO:0000076	IAO:0000600		
WARN	missing_definition	PHIPO:0000077	IAO:0000115		
WARN	missing_definition	PHIPO:0000077	IAO:0000600		
WARN	missing_definition	PHIPO:0000078	IAO:0000115		
WARN	missing_definition	PHIPO:0000078	IAO:0000600		
WARN	missing_definition	PHIPO:0000079	IAO:0000115		
WARN	missing_definition	PHIPO:0000079	IAO:0000600		
WARN	missing_definition	PHIPO:0000080	IAO:0000115		
WARN	missing_definition	PHIPO:0000080	IAO:0000600		
WARN	missing_definition	PHIPO:0000081	IAO:0000115		
WARN	missing_definition	PHIPO:0000081	IAO:0000600		
WARN	missing_definition	PHIPO:0000082	IAO:0000115		
WARN	missing_definition	PHIPO:0000082	IAO:0000600		
WARN	missing_definition	PHIPO:0000083	IAO:0000115		
WARN	missing_definition	PHIPO:0000083	IAO:0000600		
WARN	missing_definition	PHIPO:0000084	IAO:0000115		
WARN	missing_definition	PHIPO:0000084	IAO:0000600		
WARN	missing_definition	PHIPO:0000085	IAO:0000115		
WARN	missing_definition	PHIPO:0000085	IAO:0000600		
WARN	missing_definition	PHIPO:0000086	IAO:0000115		
WARN	missing_definition	PHIPO:0000086	IAO:0000600		
WARN	missing_definition	PHIPO:0000087	IAO:0000115		
WARN	missing_definition	PHIPO:0000087	IAO:0000600		
WARN	missing_definition	PHIPO:0000088	IAO:0000115		
WARN	missing_definition	PHIPO:0000088	IAO:0000600		
WARN	missing_definition	PHIPO:0000089	IAO:0000115		
WARN	missing_definition	PHIPO:0000089	IAO:0000600		
WARN	missing_definition	PHIPO:0000090	IAO:0000115		
WARN	missing_definition	PHIPO:0000090	IAO:0000600		
WARN	missing_definition	PHIPO:0000091	IAO:0000115		
WARN	missing_definition	PHIPO:0000091	IAO:0000600		
WARN	missing_definition	PHIPO:0000092	IAO:0000115		
WARN	missing_definition	PHIPO:0000092	IAO:0000600		
WARN	missing_definition	PHIPO:0000093	IAO:0000115		
WARN	missing_definition	PHIPO:0000093	IAO:0000600		
WARN	missing_definition	PHIPO:0000094	IAO:0000115		
WARN	missing_definition	PHIPO:0000094	IAO:0000600		
WARN	missing_definition	PHIPO:0000095	IAO:0000115		
WARN	missing_definition	PHIPO:0000095	IAO:0000600		
WARN	missing_definition	PHIPO:0000096	IAO:0000115		
WARN	missing_definition	PHIPO:0000096	IAO:0000600		
WARN	missing_definition	PHIPO:0000097	IAO:0000115		
WARN	missing_definition	PHIPO:0000097	IAO:0000600		
WARN	missing_definition	PHIPO:0000098	IAO:0000115		
WARN	missing_definition	PHIPO:0000098	IAO:0000600		
WARN	missing_definition	PHIPO:0000099	IAO:0000115		
WARN	missing_definition	PHIPO:0000099	IAO:0000600		
WARN	missing_definition	PHIPO:0000100	IAO:0000115		
WARN	missing_definition	PHIPO:0000100	IAO:0000600		
WARN	missing_definition	PHIPO:0000101	IAO:0000115		
WARN	missing_definition	PHIPO:0000101	IAO:0000600		
WARN	missing_definition	PHIPO:0000102	IAO:0000115		
WARN	missing_definition	PHIPO:0000102	IAO:0000600		
WARN	missing_definition	PHIPO:0000103	IAO:0000115		
WARN	missing_definition	PHIPO:0000103	IAO:0000600		
WARN	missing_definition	PHIPO:0000104	IAO:0000115		
WARN	missing_definition	PHIPO:0000104	IAO:0000600		
WARN	missing_definition	PHIPO:0000105	IAO:0000115		
WARN	missing_definition	PHIPO:0000105	IAO:0000600		
WARN	missing_definition	PHIPO:0000106	IAO:0000115		
WARN	missing_definition	PHIPO:0000106	IAO:0000600		
WARN	missing_definition	PHIPO:0000107	IAO:0000115		
WARN	missing_definition	PHIPO:0000107	IAO:0000600		
WARN	missing_definition	PHIPO:0000108	IAO:0000115		
WARN	missing_definition	PHIPO:0000108	IAO:0000600		
WARN	missing_definition	PHIPO:0000109	IAO:0000115		
WARN	missing_definition	PHIPO:0000109	IAO:0000600		
